order_id,order_date,region,destination_city,category,payment_method,sales_amount,discount_pct,quantity,return_status,customer_type
ORD-100053,2024-07-17,Northeast,Boston,Home,Credit Card,105.73,20,1,Not Returned,Returning
ORD-100054,2024-07-22 ,West,San Francisco,Home,Credit Card,154.0,15,2,Returned,Returning
ORD-100055,2024-06-09,South,,Fashion,Credit Card,82.29,5,1,Not Returned,Returning
ORD-100056,2025-09-19,Midwest,Detroit,Fashion,PayPal,25.14,15,1,Returned,Returning
ORD-100057,2025-09-07,West,San Francisco,Electronics,PayPal,132.28,10,1,Not Returned,Loyal
ORD-100058,09/20/2025,Midwest,Columbus,Fashion,Credit Card,63.68,0,1,Not Returned,Returning
ORD-100059,2024-11-28,South,Atlanta,Sports,Apple Pay,42.38,15,1,Not Returned,Returning
ORD-100060,2025-04-25,Northeast,Philadelphia,Electronics,Debit Card,364.37,,2,Not Returned,Returning
ORD-100061,2024-11-30,West,Los Angeles,Electronics,Credit Card,109.71,10,1,Not Returned,Returning
ORD-100062,2025-04-14,Midwest,Indianapolis,Home,Debit Card,942.23,10,4,Not Returned,Returning
ORD-100063,2025-06-02,South,Nashville,Office Supplies,Credit Card,29.39,10,1,Not Returned,Returning
ORD-100064,2025-05-10,Northeast,Buffalo,Fashion,Buy Now Pay Later,264.72,5,3,Not Returned,Returning
ORD-100065,2025-11-22,Northeast,Boston,Electronics,CREDIT CARD,107.01,5,1,Not Returned,New
ORD-100066,2024-05-03,South,Charlotte,Electronics,Apple Pay,96.38,10,1,Not Returned,New
ORD-100067,2024-11-29,South,Atlanta,Pet Supplies,,42.42,5,1,Returned,Returning
ORD-100068,2024-07-16,West,San Francisco,Office Supplies,Debit Card,108.62,5,4,Not Returned,Returning
ORD-100069,2024-03-29,Northeast,New York,Fashion,Credit Card,212.76,0,2,Not Returned,Loyal
ORD-100070,2024-12-26 ,South,Nashville,Fashion,PayPal,275.0,20,3,Not Returned,Returning
ORD-100071,08/28/2024,Midwest,Detroit,Office Supplies,PayPal,60.58,20,2,Not Returned,Returning
ORD-100072,2024-06-15,Midwest,,Fashion,PayPal,109.15,20,1,Not Returned,Returning
ORD-100073,2025-12-20,Northeast,Boston,Home,Credit Card,641.42,15,5,Not Returned,New
ORD-100074,2024-06-28,West,San Diego,Fashion,Credit Card,64.97,5,1,Not Returned,Returning
ORD-100075,2024-05-02,West,San Francisco,Sports,CREDIT CARD,201.0,15,2,Not Returned,Loyal
ORD-100076,11/05/2024,West,Las Vegas,Electronics,Credit Card,142.5,20,1,Not Returned,Returning
ORD-100077,2025-07-13 ,West,Las Vegas,Electronics,Buy Now Pay Later,420.49,5,3,Not Returned,New
ORD-100078,2024-05-05,West,San Francisco,Sports,Credit Card,79.21,0,1,Not Returned,Returning
ORD-100079,2025-06-13,Midwest,Minneapolis,Toys,Apple Pay,110.77,5,3,Not Returned,Returning
ORD-100080,2025-11-16,West,Phoenix,Electronics,,187.91,25,1,Not Returned,Returning
ORD-100081,2024-09-05,West,Las Vegas,Electronics,Credit Card,102.74,20,2,Not Returned,Returning
ORD-100082,2025-10-27,Midwest,Indianapolis,Home,PayPal,33.34,15,1,Not Returned,Returning
ORD-100083,2024-07-28,Northeast,Boston,Home,Gift Card,352.89,10,3,Not Returned,Returning
ORD-100084,02/03/2024,South,Miami,Beauty,Buy Now Pay Later,46.8,0,1,Returned,New
ORD-100085,2025-12-04,Midwest,Columbus,Electronics,Credit Card,265.86,20,2,Returned,New
ORD-100086,2024-10-10,West,Seattle,Fashion,Credit Card,184.93,20,2,Not Returned,Returning
ORD-100087,2024-11-10,South,Atlanta,Beauty,PayPal,131.07,20,2,Not Returned,Returning
ORD-100088,02/08/2024,West,San Diego,Home,Credit Card,138.61,10,2,Not Returned,New
ORD-100089,2025-03-30,Midwest,Indianapolis,Home,Gift Card,137.11,0,1,Not Returned,Loyal
ORD-100090,2025-10-22,West,Los Angeles,Office Supplies,Credit Card,24.29,15,1,Not Returned,Returning
ORD-100091,2024-05-03,Midwest,St. Louis,Electronics,Debit Card,83.58,5,1,Not Returned,Returning
ORD-100092,2025-10-08,Midwest,St. Louis,Home,Credit Card,65.53,0,1,Not Returned,Returning
ORD-100093,2024-07-09,Northeast,Boston,Beauty,Credit Card ,49.76,15,1,Not Returned,Returning
ORD-100094,2024-04-11,West,San Francisco,Home,Debit Card,37.28,10,1,Not Returned,Returning
ORD-100095,2025-08-08,West,San Francisco,Beauty,Debit Card,77.65,0,2,Not Returned,Returning
ORD-100096,2024-11-21,South,Nashville,Sports,Credit Card,453.64,15,3,Not Returned,Returning
ORD-100097,2024-08-01,Midwest,,Beauty,Credit Card,43.88,0,1,Not Returned,Returning
ORD-100098,2024-12-19,West,Seattle,Fashion,Buy Now Pay Later,183.95,5,2,Not Returned,Returning
ORD-100099,2025-03-22,South,Atlanta,Electronics,Gift Card,932.33,0,3,Not Returned,Returning
ORD-100100,2025-11-15,West,Los Angeles,Electronics,Debit Card,204.59,30,1,Not Returned,Loyal
ORD-100101,2025-04-21,West,San Francisco,Beauty,Gift Card,30.72,0,1,Not Returned,Returning
ORD-100102,06/10/2024,West,San Diego,Fashion,Debit Card,133.16,10,2,Not Returned,Returning
ORD-100103,2025-11-28,West,Los Angeles,Office Supplies,Credit Card,142.95,10,4,Not Returned,New
ORD-100104,2025-08-05 ,West,San Francisco,Electronics,Apple Pay,273.36,10,1,Not Returned,Returning
ORD-100105,2024-08-17,South,Dallas,Pet Supplies,Debit Card,67.37,0,1,Not Returned,Returning
ORD-100106,2025-10-15,West,San Francisco,Pet Supplies,Apple Pay,275.35,0,3,Returned,Returning
ORD-100107,2025-02-23,South,Charlotte,Electronics,Credit Card,54.45,15,1,Not Returned,New
ORD-100108,2024-08-09,Northeast,Pittsburgh,Home,Debit Card,202.59,0,2,Not Returned,Returning
ORD-100109,2024-11-02,South,Houston,Electronics,PAYPAL,143.5,30,1,Not Returned,Returning
ORD-100110,2024-12-18,Northeast,Newark,Office Supplies,Debit Card,59.67,20,1,Not Returned,Returning
ORD-100111,2025-07-13,South,Dallas,Toys,Credit Card,84.55,15,2,Not Returned,Returning
ORD-100112,2024-10-01,West,San Francisco,Home,Gift Card,129.14,0,1,Not Returned,Loyal
ORD-100113,2025-05-04,West,Phoenix,Pet Supplies,PayPal,80.1,5,2,Not Returned,Loyal
ORD-100114,2025-07-12,West,San Francisco,Electronics,Credit Card,716.56,10,3,Not Returned,Returning
ORD-100115,09/13/2025,Northeast,Pittsburgh,Fashion,Debit Card,46.94,10,1,Not Returned,Returning
ORD-100116,2025-12-22,Midwest,Detroit,Electronics,Credit Card,282.09,0,2,Exchange,Returning
ORD-100117,2025-09-18,West,San Francisco,Home,Credit Card,66.65,0,1,Not Returned,Returning
ORD-100118,2025-12-05,Northeast,Newark,Fashion,Buy Now Pay Later,105.15,5,2,Not Returned,Returning
ORD-100119,2025-08-14,Northeast,Philadelphia,Home,Credit Card,74.07,5,1,Not Returned,Returning
ORD-100120,2024-05-09,West,Seattle,Electronics,Credit Card ,1126.9,0,4,Returned ,New
ORD-100121,2025-11-15,South,Atlanta,Home,Credit Card,366.73,30,1,NOT RETURNED,Loyal
ORD-100122,2025-03-18,Midwest,St. Louis,Home,Credit Card,57.53,0,1,Not Returned,Returning
ORD-100123,2025-01-02,South,Houston,Sports,Buy Now Pay Later,102.84,15,1,Not Returned,Returning
ORD-100124,2025-09-17,South,Houston,Pet Supplies,PayPal,32.62,15,1,Returned,Returning
ORD-100125,2025-06-27,South,,Fashion,Credit Card,108.36,0,3,Returned,Returning
ORD-100126,2024-11-07,West,Seattle,Electronics,PayPal,182.6,10,1,Not Returned,New
ORD-100127,09/03/2024,Northeast,Boston,Office Supplies,Credit Card,14.33,15,1,Not Returned,New
ORD-100128,2024-04-21,West,Seattle,Electronics,Apple Pay,725.73,10,5,Not Returned,Returning
ORD-100129,2024-03-01,Midwest,Detroit,Office Supplies,Credit Card,156.53,5,5,Not Returned,New
ORD-100130,2025-11-27,South,Dallas,Electronics,Debit Card,149.16,10,1,Returned,Returning
ORD-100131,2025-10-17,South,Houston,Pet Supplies,PayPal,168.35,0,4,not returned,Returning
ORD-100132,2024-10-23,Midwest,Minneapolis,Fashion,Apple Pay,98.18,10,2,Not Returned,Returning
ORD-100133,2024-09-12,Midwest,Chicago,Fashion,Credit Card,90.08,20,2,Not Returned,Loyal
ORD-100134,2024-09-18,Midwest,Columbus,Fashion,credit card,53.86,0,1,Not Returned,Returning
ORD-100135,2024-12-24,Northeast,Buffalo,Home,Credit Card,91.2,5,2,Exchange,Returning
ORD-100136,2024-09-01,South,Houston,Fashion,Credit Card,54.19,0,1,Not Returned,Loyal
ORD-100137,2025-04-25,West,San Diego,Electronics,Credit Card,169.29,0,1,Not Returned,Returning
ORD-100138,2024-08-02,Midwest,St. Louis,Pet Supplies,Credit Card,46.01,0,1,Not Returned,Returning
ORD-100139,2024-08-16,South,Charlotte,Toys,Debit Card,44.11,0,1,Returned,Returning
ORD-100140,2025-11-14,South,Miami,Office Supplies,credit card,25.72,20,1,Not Returned,Returning
ORD-100141,2025-11-05,South,Miami,Home,Credit Card,178.86,20,1,not returned,Returning
ORD-100142,08/15/2025,West,San Francisco,Office Supplies,CREDIT CARD,26.97,10,1,Not Returned,Returning
ORD-100143,2024-06-04,Northeast,Newark,Pet Supplies,PayPal,78.86,,1,Not Returned,New
ORD-100144,2025-05-06,Midwest,Indianapolis,Home,PayPal,56.72,0,2,Not Returned,Returning
ORD-100145,2024-05-26,South,Charlotte,Fashion,Credit Card,811.55,15,3,Not Returned,Loyal
ORD-100146,2024-08-06,Northeast,Newark,Electronics,Credit Card,322.45,10,2,Not Returned,Returning
ORD-100147,2025-07-29,Northeast,New York,Toys,Credit Card,149.28,10,5,Not Returned,Returning
ORD-100148,2024-03-28,Northeast,Newark,Sports,credit card,61.03,5,1,Not Returned,Returning
ORD-100149,2024/11/07,South,Houston,Sports,Credit Card,70.76,5,1,Not Returned,Returning
ORD-100150,2025/06/28,Northeast,Boston,Toys,Credit Card,94.57,20,1,Not Returned,Returning
ORD-100151,2025-12-06,Northeast,Philadelphia,Sports,Credit Card,261.27,0,2,Not Returned,Returning
ORD-100152,2025-12-17,West,San Diego,Fashion,PayPal,78.88,0,1,Not Returned,Loyal
ORD-100153,2025-09-27,South,Dallas,Fashion,PayPal,123.4,10,2,Not Returned,Returning
ORD-100154,06/11/2025,Midwest,Minneapolis,Electronics,Credit Card,845.95,0,2,Not Returned,Returning
ORD-100155,2024-02-10,South,Houston,Sports,Credit Card,70.4,5,1,Not Returned,Returning
ORD-100156,2025-10-01,South,Charlotte,Toys,Credit Card,59.62,10,2,Not Returned,Returning
ORD-100157,2024-05-03,Midwest,Chicago,Electronics,PAYPAL,94.89,5,1,Not Returned,New
ORD-100158,2025-07-30,Midwest,Indianapolis,Home,Credit Card,249.04,20,3,Exchange,New
ORD-100159,2025-02-12,South,Charlotte,Toys,Debit Card,125.86,15,2,Not Returned,New
ORD-100160,2024-03-15,West,Seattle,Beauty,Debit Card,16.17,5,1,NOT RETURNED,Returning
ORD-100161,2025-04-02 ,West,Phoenix,Toys,Buy Now Pay Later,32.22,5,1,,Returning
ORD-100162,2025-09-21,West,Los Angeles,Fashion,Credit Card,117.46,20,2,Not Returned,Returning
ORD-100163,2025-01-24,South,Atlanta,Toys,Debit Card,60.44,15,1,Not Returned,New
ORD-100164,08/23/2024,West,Seattle,Toys,Debit Card,108.41,5,2,Not Returned,Returning
ORD-100165,2025-08-17,Northeast,Buffalo,Sports,Credit Card,65.29,10,1,Not Returned,Returning
ORD-100166,2024-04-02,South,Nashville,Fashion,Credit Card,55.76,5,1,Exchange,Returning
ORD-100167,2025-07-13,Midwest,Chicago,Electronics,PayPal,57.84,15,1,Not Returned,Loyal
ORD-100168,2025-06-26,Northeast,Philadelphia,Electronics,Credit Card,279.43,5,2,Not Returned,Loyal
ORD-100169,2025-03-12,West,Las Vegas,Fashion,Apple Pay,247.13,20,2,Exchange,Returning
ORD-100170,2025-08-18,West,Las Vegas,Toys,Debit Card,71.96,15,2,Not Returned,New
ORD-100171,2025-04-26,Midwest,Indianapolis,Fashion,PayPal,133.62,20,3,Returned,Returning
ORD-100172,2024-11-09,West,Los Angeles,Home,PayPal,200.1,25,2,Not Returned,New
ORD-100173,2025-06-29,West,San Diego,Sports,Debit Card,131.61,0,1,Not Returned,Loyal
ORD-100174,04/06/2024,West,Las Vegas,Toys,Debit Card,70.36,10,2,Returned,New
ORD-100175,2025-04-08,Northeast,Buffalo,Fashion,Debit Card,66.69,0,1,Not Returned,New
ORD-100176,2025/05/26,Midwest,Chicago,Electronics,Credit Card,98.54,5,1,Not Returned,Returning
ORD-100177,2024-01-10,Northeast,Newark,Home,Credit Card,79.32,10,1,Not Returned,New
ORD-100178,2024-06-14,Northeast,New York,Fashion,Debit Card,54.46,0,1,Returned,Returning
ORD-100179,2024-12-18,South,Nashville,Sports,Credit Card,68.3,15,2,Not Returned,New
ORD-100180,2025-01-22,South,Houston,Electronics,Credit Card,438.46,0,3,Not Returned,Returning
ORD-100181,2024-03-14,West,Phoenix,Home,Credit Card,207.88,10,2,Returned,Returning
ORD-100182,2025-06-17,Midwest,Detroit,Sports,,495.95,15,4,Not Returned,New
ORD-100183,2024/04/25,South,Miami,Toys,Debit Card,191.02,20,2,Not Returned,Returning
ORD-100184,2024-08-20,Northeast,New York,Fashion,Debit Card,60.95,15,2,Not Returned,Returning
ORD-100185,2024-12-10,Northeast,Newark,Office Supplies,Apple Pay,37.53,0,1,Not Returned,New
ORD-100186,2025-08-10,Northeast,Boston,Electronics,Gift Card,144.63,0,1,Not Returned,Loyal
ORD-100187,2024-12-02,Northeast,Boston,Electronics,PayPal,825.49,15,5,returned,New
ORD-100188,2025-06-02,West,Las Vegas,Beauty,Credit Card,27.46,5,1,Not Returned,Loyal
ORD-100189,2025-03-18,Northeast,Newark,Toys,Gift Card,126.71,20,3,Returned,New
ORD-100190,2024-09-25,Northeast,New York,Electronics,Credit Card,90.4,0,1,Not Returned,Returning
ORD-100191,2025-07-11,West,Seattle,Fashion,Debit Card,53.72,5,1,Not Returned,Returning
ORD-100192,2024-08-17,West,Las Vegas,Fashion,Credit Card,198.7,0,2,Returned,New
ORD-100193,2025-04-22,Midwest,Chicago,Electronics,Credit Card,268.97,0,2,Not Returned,Loyal
ORD-100194,2024-07-14,West,Seattle,Fashion,Credit Card,93.6,0,1,Not Returned,Loyal
ORD-100195,2025-02-24,Midwest,N/A,Toys,Debit Card,113.94,0,3,Returned,Returning
ORD-100196,2025-08-30,Midwest,St. Louis,Sports,Credit Card,39.18,5,1,Not Returned,New
ORD-100197,2025-04-07,South,Miami,Fashion,Debit Card,35.17,10,1,Not Returned,Loyal
ORD-100198,2025-12-09,West,Los Angeles,Electronics,Credit Card,455.07,20,2,Not Returned,New
ORD-100199,2025-07-28,West,San Francisco,Beauty,Gift Card,44.65,20,1,Not Returned,Returning
ORD-100200,2025-06-10,South,Atlanta,Office Supplies,Credit Card,40.77,0,2,Returned,New
ORD-100201,2025-12-23,Northeast,Philadelphia,Fashion,Debit Card,176.25,25,2,Exchange,Returning
ORD-100202,2024-10-17,South,Atlanta,Sports,Debit Card,661.74,20,3,Not Returned,Returning
ORD-100203,2025-03-09,West,San Diego,Electronics,Credit Card,584.16,0,4,Returned,Loyal
ORD-100204,2025-10-18,Midwest,Minneapolis,Pet Supplies,Credit Card,57.1,5,1,Not Returned,Returning
ORD-100205,2025-06-07,Midwest,St. Louis,Pet Supplies,Credit Card,28.55,15,1,Returned,New
ORD-100206,2024-09-15,West,San Francisco,Electronics,Credit Card,106.06,5,1,Not Returned,Loyal
ORD-100207,2025-01-01,West,Phoenix,Electronics,PayPal,476.41,10,4,Not Returned,Returning
ORD-100208,2024-11-02,South,Charlotte,Electronics,Credit Card,80.16,10,1,Not Returned,Returning
ORD-100209,2024-08-29,West,Los Angeles,Home,paypal,693.74,5,5,Not Returned,New
ORD-100210,2025-01-03,Midwest,Detroit,Toys,Credit Card,65.13,15,1,Not Returned,Loyal
ORD-100211,2024-10-05,South,Houston,Fashion,PayPal,117.56,0,1,Not Returned,Returning
ORD-100212,2025-10-24,South,Dallas,Office Supplies,Gift Card,25.02,0,1,Not Returned,New
ORD-100213,2024-12-23,South,Houston,Electronics,Credit Card,178.61,10,1,Not Returned,Returning
ORD-100214,2025-04-12,South,Charlotte,Beauty,Debit Card,114.45,10,2,Returned,New
ORD-100215,2024-05-08,South,,Electronics,Credit Card,173.89,10,1,Not Returned,Returning
ORD-100216,2025-11-14,Midwest,Detroit,Home,Debit Card,101.06,0,1,Returned,Loyal
ORD-100217,2025-10-04,Midwest,St. Louis,Office Supplies,,117.63,10,3,Not Returned,Returning
ORD-100218,2024-03-28,Northeast,Newark,Home,Credit Card,95.01,0,1,Not Returned,Returning
ORD-100219,2025-03-02,Northeast,Buffalo,Electronics,Credit Card,102.25,5,1,,Returning
ORD-100220,2025-01-03,Northeast,New York,Fashion,Credit Card,108.83,0,2,Not Returned,Returning
ORD-100221,2024-03-02,Midwest,Minneapolis,Fashion,Gift Card,317.59,0,4,Not Returned,Returning
ORD-100222,2025-02-13,South,Miami,Toys,PayPal,120.38,10,3,Not Returned,Returning
ORD-100223,2024-01-09,Midwest,Detroit,Office Supplies,PayPal,23.51,0,1,,Returning
ORD-100224,2024-07-20,South,Dallas,Fashion,,237.75,20,4,Not Returned,Loyal
ORD-100225,2025-09-24,Midwest,St. Louis,Home,Credit Card,76.49,15,1,Not Returned,New
ORD-100226,2024-09-25,West,Los Angeles,Beauty,Debit Card,40.26,0,2,Not Returned,New
ORD-100227,2024-11-04,Midwest,Detroit,Home,Buy Now Pay Later,173.32,5,1,Not Returned,Returning
ORD-100228,2025-09-24,West,Los Angeles,Fashion,Credit Card,82.65,0,1,Not Returned,New
ORD-100229,2024-07-09,West,Las Vegas,Office Supplies,Credit Card,12.52,10,1,Not Returned,Returning
ORD-100230,2024-01-01,West,Seattle,Home,Credit Card,216.8,0,4,Not Returned,New
ORD-100231,2024-11-10 ,South,,Electronics,Gift Card,1216.61,20,4,Returned,New
ORD-100232,2025-01-01,Midwest,Minneapolis,Home,PayPal,121.36,20,1,Not Returned,Loyal
ORD-100233,2025-06-21,South,Atlanta,Pet Supplies,Credit Card,36.37,10,1,Returned,Returning
ORD-100234,2025-06-15,Northeast,Pittsburgh,Fashion,Credit Card,100.39,15,2,Not Returned,Loyal
ORD-100235,2025-01-06,Midwest,Columbus,Fashion,Credit Card,70.08,0,1,Returned,Returning
ORD-100236,2024-02-06,South,Nashville,Electronics,Debit Card,215.93,0,2,Not Returned,Returning
ORD-100237,11/03/2025,Northeast,Boston,Toys,Apple Pay,50.3,10,1,Not Returned,New
ORD-100238,2024-02-24,South,Miami,Electronics,,380.44,10,2,Not Returned,New
ORD-100239,2025-04-06,West,Seattle,Fashion,Credit Card,68.37,5,1,Not Returned ,Loyal
ORD-100240,2025-04-02,West,Phoenix,Electronics,Credit Card,215.19,5,3,Not Returned,Loyal
ORD-100241,2024-02-28,Midwest,Indianapolis,Home,Buy Now Pay Later,151.57,15,1,Not Returned,New
ORD-100242,2025-12-19,Northeast,Buffalo,Fashion,credit card,111.92,10,2,Not Returned,Returning
ORD-100243,2024-10-07,West,San Francisco,Office Supplies,PayPal,23.03,,2,Not Returned,Returning
ORD-100244,2025-12-04,West,Los Angeles,Electronics,PayPal,137.1,10,1,Not Returned,Returning
ORD-100245,2025-10-14,South,Dallas,Electronics,Credit Card,260.08,15,2,Not Returned,Returning
ORD-100246,2024-05-27,West,Los Angeles,Electronics,Credit Card,315.04,,2,Not Returned,Returning
ORD-100247,2024-12-15,West,Seattle,Beauty,Credit Card,65.24,5,2,Not Returned,New
ORD-100248,2024-12-24,Midwest,Chicago,Office Supplies,Credit Card,88.93,20,4,Not Returned,Returning
ORD-100249,2024-07-06,Northeast,Pittsburgh,Beauty,Credit Card,129.88,,2,Not Returned,Loyal
ORD-100250,2025-09-15,West,Phoenix,Electronics,PayPal,225.05,0,1,Not Returned,Returning
ORD-100251,2024-09-06,South,Charlotte,Sports,Debit Card,22.2,15,1,Not Returned,Returning
ORD-100252,2025-07-20,Northeast,Newark,Electronics,Apple Pay,95.56,10,1,Not Returned,Returning
ORD-100253,2025-07-19,West,San Francisco,Toys,Debit Card,102.67,10,3,Not Returned,Returning
ORD-100254,2024-10-13,Midwest,Detroit,Electronics,Buy Now Pay Later,188.4,5,1,Not Returned,New
ORD-100255,2024-12-12,West,Las Vegas,Toys,PayPal,31.15,10,1,Not Returned ,New
ORD-100256,2024-06-17,West,Los Angeles,Home,Debit Card,74.5,10,1,not returned,Returning
ORD-100257,2024-07-12,Northeast,Newark,Pet Supplies,Gift Card,133.66,0,1,Not Returned,Returning
ORD-100258,2025-10-20,South,Dallas,Fashion,Credit Card,65.77,0,2,Not Returned,New
ORD-100259,2025-06-06,Midwest,Indianapolis,Pet Supplies,Apple Pay,55.26,20,1,Not Returned,Returning
ORD-100260,2024-12-08,Midwest,Chicago,Fashion,Gift Card,87.67,25,1,Not Returned,New
ORD-100261,2025-04-18,Northeast,Newark,Electronics,Debit Card,190.96,10,1,Not Returned,Loyal
ORD-100262,2025-08-05,Northeast,Pittsburgh,Pet Supplies,,22.11,10,1,Not Returned,Returning
ORD-100263,2025-10-10,West,San Diego,Home,Apple Pay,187.39,5,3,Not Returned,Loyal
ORD-100264,2025-10-15,Northeast,Newark,Electronics,Credit Card,270.28,20,1,Returned,New
ORD-100265,2024-07-28,South,Dallas,Electronics,Credit Card,275.75,0,2,Not Returned,Returning
ORD-100266,2024-12-09,Midwest,Indianapolis,Sports,Debit Card,126.24,25,2,Not Returned,Returning
ORD-100267,2024-10-04,South,Charlotte,Electronics,credit card,132.1,0,1,Returned,Returning
ORD-100268,2024-11-27,Northeast,Newark,Beauty,PayPal,44.03,20,1,Not Returned,Returning
ORD-100269,2025-02-10,South,Charlotte,Sports,Apple Pay,66.95,10,1,Not Returned,Returning
ORD-100270,2024-11-02,Northeast,Pittsburgh,Fashion,Credit Card,56.15,20,1,Not Returned,Loyal
ORD-100271,2025-02-11,Midwest,Chicago,Sports,Credit Card,110.87,0,2,Not Returned,Returning
ORD-100272,2025-12-28,South,Houston,Home,Credit Card,189.75,5,2,Not Returned,Returning
